No,Title,Author,Link,Publisher,Year,Pages,Format,Literary Form,Library,Items Available,Call Number,Edition,Material Type,Image URL
79,"Animal Behavior: A Synthesis Of Ethology And Comparative Psychologyrobert A. Hinde.Xvi, 876P.: Ill.","Hinde, Robert A",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=811,McGraw-Hill Kogakusha,1970,876,; print,; Not fiction,Hezekiah Oluwasanmi Library(1),1,QL7515 .H58.,2nd ed.,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
80,"Wheater’S Functional Histology:  A Text And Colour Atlasbarbara Young, John W. Heath413P.","Young, Barbara",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=848,"Churchill Livingstone,",2002,413,; print,; Not fiction,Hezekiah Oluwasanmi Library(1),1,QM551 .Yo8.,4th ed.,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
81,"Clinical Head And Neck Anatomy For Surgeonsbrennan, Peter A.",Peter A. Brennan,https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=875,CRC Press,2016,0,; print,; Not fiction,Hezekiah Oluwasanmi Library(1),1,QM535 .C61.,Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
82,"Structural Analysiskassimali, Aslam.Xvi, 875P.: Ill.","Kassimali, Aslam",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=899,Cengage Learning,2011,875,; print,; Not fiction,Hezekiah Oluwasanmi Library(2),2,"TA642 .K15, ...",4th ed.,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
83,Change And Choice The Development Of Private Universities In Nigeriaanthony U. Osagiexii; 206P.,"Osagie, Anthony U",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=981,Rawel Fortune Resources,2009,206,; print,; Not fiction,Hezekiah Oluwasanmi Library(1),1,LB2328.5 .C36.,Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
84,"Achieving Your Award In Education And Training:  : A Practical Guide To Successful Teaching In The Further Education And Skills Sectormary Francis And Jim Gouldsage Publications . Viii, 291P.; Ill","Francis, Mary",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=983,"Sage Publications,",2014,291,; print,; Not fiction,Hezekiah Oluwasanmi Library(1),1,LC5256 .F85.,3rd ed.-,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
85,"Safeguarding And Protecting Children, Young People And Families A Guide For Nurses And Midwivesedited By Gill Watson [And] Sandra Rodwell.Xviii; 198P.; Ill.","Edited By Watson, Gill, [And]  Rodwell Sandra",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=995,Sage,2014,198,; print,; Not fiction,Unknown,0,Unknown,Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
86,"Agroecosystems: Soils, Climate, Crops, Nutrient Dynamics And Productivityk. R. Krishna","Krishna, K. R",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=1006,: Apple Academic Press,2014,0,; print,; Not fiction,Hezekiah Oluwasanmi Library(1),1,S589.7 .K89.,Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
87,"Rethinking Comparative Politics In Africaa. O. Mutiullah, B. A. Solomon, M. A. Fidelisxx, 278P.; Ill.","Mutiullah, A. O",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=1031,"J. A. Professional Publishers,",2016,278,; print,; Not fiction,Unknown,0,Unknown,Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
88,"Research In Early Childhoodandrea Nolan, Kym Macfarlane And Jennifer Cartmelx; 190P.; Ill.","Nolan, Andrea",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=1043,Sage Publications,2013,190,; print,; Not fiction,Unknown,0,Unknown,Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
89,"Facilities Planningedited By James A. Tompkins…[Et Al.]X, 854P.; Ill.","Edited By Tompkins, James A.…[Et Al.]",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=1051,John Wiley & Sons,2010,854,; print,; Not fiction,Hezekiah Oluwasanmi Library(1),1,JS177 .F11.,4th ed.,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
90,Things Fall Apart Illustratedchinua Achebe225P.,"Achebe, Chinua",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=1067,"Bookcraft,",2008,225,; print,; Not fiction,Hezekiah Oluwasanmi Library(1),1,PR9387.9 .Ac1.,Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
91,"Essays On International Politics  Foreign And Domestic Affairsbolaji Akinyemixv, 413P.","Akinyemi, Bolaji",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=1078,Macmillan,Unknown,413,; print,; Not fiction,Hezekiah Oluwasanmi Library(1),1,DT30.5 .Ak5.,Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
92,"Practice Of Public Examining In Nigeriao. A. Aworanti, A. O. U. Onuka, T. N. Koloxx, 332P.; Ill","Aworanti, O. A",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=1103,ATMAN Publishers,2016,332,; print,; Not fiction,Hezekiah Oluwasanmi Library(1),1,LB3058 .N6Aw6.,Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
93,"Nontraditional Media In Marketing And Advertisingrobyn Blakemanvii, 255P.","Blakeman, Robyn",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=1114,"Sage Publishers,",2014,255,; print,; Not fiction,Hezekiah Oluwasanmi Library(2),2,"HF5415 .B57, ...",Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
94,"Research Methods In Accountingmalcolm Smithxiv, 278P.","Smith, Malcolm",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=1148,"Sage Publications,",2017,278,; print,; Not fiction,Hezekiah Oluwasanmi Library(2),2,"HF5630 .Sm6, ...",Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
